Symbol,Headquarter,Date Added,Founding Year
QCOM,"San Diego, California",,1985
DGX,"Secaucus, New Jersey",2002-12-12,1967
RL,"New York City, New York",2007-02-02,1967
RJF,"St. Petersburg, Florida",2017-03-20,1962
RTX,"Waltham, Massachusetts",,1922
O,"San Diego, California",2015-04-07,1969
REG,"Jacksonville, Florida",2017-03-02,1963
REGN,"Tarrytown, New York",2013-05-01,1988
RF,"Birmingham, Alabama",1998-08-28,1971
RSG,"Phoenix, Arizona",2008-12-05,1998
RMD,"San Diego, California",2017-07-26,1989
RHI,"Menlo Park, California",2000-12-05,1948
ROK,"Milwaukee, Wisconsin",,1903
ROL,"Atlanta, Georgia",2018-10-01,1948
ROP,"Sarasota, Florida",2009-12-23,1981
ROST,"Dublin, California",2009-12-21,1982
RCL,"Miami, Florida",2014-12-05,1997
SPGI,"New York City, New York",,1917
CRM,"San Francisco, California",2008-09-15,1999
SBAC,"Boca Raton, Florida",2017-09-01,1989
SLB,"Curaçao, Kingdom of the Netherlands",1965-03-31,1926
STX,"Dublin, Ireland",2012-07-02,1979
SEE,"Charlotte, North Carolina",1957-03-04,1960
SRE,"San Diego, California",,1998
NOW,"Santa Clara, California",2019-11-21,2003
SHW,"Cleveland, Ohio",1964-06-30,1866
SPG,"Indianapolis, Indiana",2002-06-26,2003
SWKS,"Woburn, Massachusetts",2015-03-12,2002
SNA,"Kenosha, Wisconsin",1982-09-30,1920
SO,"Atlanta, Georgia",1957-03-04,1945
LUV,"Dallas, Texas",1994-07-01,1967
SWK,"New Britain, Connecticut",1982-09-30,1843
SBUX,"Seattle, Washington",,1971
STT,"Boston, Massachusetts",,1792
STE,"Dublin, Ireland",2019-12-23,1985
SYK,"Kalamazoo, Michigan",2000-12-12,1941
SIVB,"Santa Clara, California",2018-03-19,1983
SYF,"Stamford, Connecticut",2015-11-18,2003
SNPS,"Mountain View, California",2017-03-16,1986
SYY,"Houston, Texas",1986-12-31,1969
TMUS,"Bellevue, Washington",2019-07-15,1994
TROW,"Baltimore, Maryland",,1937
TTWO,"New York City, New York",2018-03-19,1993
TPR,"New York City, New York",,2017
TGT,"Minneapolis, Minnesota",1976-12-31,1902
TEL,"Schaffhausen, Switzerland",2011-10-17,2007
TDY,"Thousand Oaks, California",2020-06-22,1960
TFX,"Wayne, Pennsylvania",2019-01-18,1943
TER,"North Reading, Massachusetts",2020-09-21,1960
TSLA,"Palo Alto, California",2020-12-21,2003
TXN,"Dallas, Texas",,1930
TXT,"Providence, Rhode Island",1978-12-31,1923
TMO,"Waltham, Massachusetts",2004-08-03,1956
TJX,"Framingham, Massachusetts",1985-09-30,1987
TSCO,"Brentwood, Tennessee",2014-01-24,1938
TT,"Dublin, Ireland",2010-11-17,1871
TDG,"Cleveland, Ohio",2016-06-03,1993
TRV,"New York City, New York",2002-08-21,1853
TRMB,"Sunnyvale, California",2021-01-21,1978
