Symbol,EPS
KHC,"{'2021': 0.43, '2020': 0.29, '2019': 1.58}"
KIM,"{'2021': 0.56, '2020': 2.25, '2019': 0.8}"
KLAC,"{'2021': 13.37, '2020': 7.7, '2019': 7.49}"
KMB,"{'2021': 2.92, '2020': 6.87, '2019': 6.24}"
KMI,"{'2021': 0.29, '2020': 0.05, '2019': 0.96}"
KMX,"{'2021': 4.52, '2020': 5.33, '2019': 3.46}"
KO,"{'2021': 1.13, '2020': 1.79, '2019': 2.07}"
KR,"{'2021': 3.27, '2020': 2.04, '2019': 0.73}"
KSU,"{'2021': 2.48, '2020': 6.54, '2019': 5.4}"
L,"{'2021': 3.82, '2020': 3.32, '2019': 3.07}"
LDOS,"{'2021': 2.62, '2020': 4.36, '2019': 4.6}"
LEG,"{'2021': 1.46, '2020': 1.82, '2019': 2.47}"
LEN,"{'2021': 5.85, '2020': 7.85, '2019': 5.74}"
LH,"{'2021': 12.58, '2020': 15.88, '2019': 8.35}"
LHX,"{'2021': 4.25, '2020': 5.19, '2019': 1.76}"
LIN,"{'2021': 3.46, '2020': 4.71, '2019': 4.19}"
LKQ,"{'2021': 1.89, '2020': 2.1, '2019': 1.75}"
LLY,"{'2021': 3.01, '2020': 6.79, '2019': 8.89}"
LMT,"{'2021': 13.08, '2020': 24.3, '2019': 21.95}"
LNC,"{'2021': 4.51, '2020': 2.56, '2019': 4.38}"
LNT,"{'2021': 1.26, '2020': 2.47, '2019': 2.33}"
LOW,"{'2021': 7.75, '2020': 5.49, '2019': 0.21}"
LRCX,"{'2021': 26.9, '2020': 15.1, '2019': 13.7}"
LUMN,"{'2021': 0.9, '2020': 1.14, '2019': 4.92}"
LUV,"{'2021': 0.76, '2020': 5.44, '2019': 4.27}"
